,Over_Plain,Under_Plain,Over_Budget,Under_Budget,Over_Age,Under_Age
1929,0.8560255776015137,1.0,0.97811900346269154,1.0,0.8799062481629695,1.0
1930,0.5527755343704951,1.0,NA,NA,0.5903178192171068,1.0
1931,0.6559347106162509,1.0,0.54598106971991722,1.0,0.7816402995518222,1.0
1932,0.6460553277110282,1.0,0.25168038167932816,1.0,0.729316117040833,1.0
1933,0.7422111321879593,1.0,NA,NA,0.772232526345904,1.0
1934,0.7646144486591584,1.0,0.51907328238945827,1.0,0.8254446141883616,1.0
1935,0.7980076777350716,1.0,0.66615293357388594,1.0,0.8210281578118747,1.0
1936,0.9414275827710252,1.0,0.99983386377643813,1.0,0.9466372616367406,1.0
1937,0.40918737832540203,1.0,NA,NA,0.516300676482212,1.0
1938,0.4777906206489634,1.0,0.15709512243207122,1.0,0.5422643813235983,1.0
1939,0.4352033827092593,1.0,NA,NA,0.5479327090320661,1.0
1940,0.8506711603680173,1.0,0.88058726732641746,1.0,0.8851724070928795,1.0
1941,0.49270387145554034,1.0,0.8518593310149245,1.0,0.5332749904043063,1.0
1942,0.4681330030349411,1.0,0.79455433027194078,1.0,0.52098864006732,1.0
1943,0.441481719359714,1.0,0.53756977736038658,1.0,0.48513301718469615,1.0
1944,0.3737858970481665,1.0,0.023115299374773721,1.0,0.3986198493729043,1.0
1945,0.43338586976752635,1.0,0.35681567615633064,1.0,0.48930043431294373,1.0
1946,0.443205686198089,1.0,NA,NA,0.48081542712214526,1.0
1947,0.512348240643134,1.0,0.53278056457884715,1.0,0.584672110968115,1.0
1948,0.42044613608461184,1.0,0.021639594684659137,1.0,0.4648531663850519,1.0
1949,0.8312021385038473,1.0,0.58401700703478387,1.0,0.8611096686303347,1.0
1950,0.8634380374229744,1.0,NA,NA,0.9026830148576255,1.0
1951,0.8317385234993357,1.0,NA,NA,0.865253866801631,1.0
1952,0.5717448033686489,1.0,0.99996256035420739,1.0,0.5981940277804365,1.0
1953,0.861749987668414,1.0,0.82364016802083273,1.0,0.882195951966289,1.0
1954,0.405643926905598,1.0,0.61288222662943004,1.0,0.4990735574530785,1.0
1955,0.9445541825535759,0.602857218492551,0.91890980852895687,0.66262236853985912,0.965995181202316,0.5304116863053302
1956,0.5224137618948209,1.0,0.98842605535454686,1.0,0.5470705348121889,1.0
1957,0.7970639537971482,1.0,0.41918957794720524,1.0,0.8281419658746585,1.0
1958,0.9943089866317216,0.17568049941769304,0.90444906023324734,0.55540051475109464,0.9960673726353981,0.14899633012177943
1959,0.8635363293156364,1.0,0.72418978431131376,1.0,0.9015303686322498,1.0
1960,0.7099625073576961,1.0,0.28237025520620684,1.0,0.7827509526761885,1.0
1961,0.3534194448364212,1.0,0.16436434922242527,1.0,0.3831223706175039,1.0
1962,0.7449497367747548,1.0,0.77126544943323516,1.0,0.8023385336650134,1.0
1963,0.774844961108887,1.0,0.25403439727842614,1.0,0.8158482059497454,1.0
1964,0.783659483390522,1.0,0.9667103757421045,1.0,0.8079117013575218,1.0
1965,0.7816036106242329,1.0,0.9651933687269717,1.0,0.8115030344269982,1.0
1966,0.3362551193955944,1.0,0.10013332908676925,1.0,0.37008462540039017,1.0
1967,0.9078960672157781,0.6806277846777138,0.82984785776026737,0.78148247533453485,0.9254569846689371,0.6466258987048487
1968,0.8909569218750685,0.7076776553497357,0.93906762981392511,0.61440732788775654,0.9151332186803237,0.6669007307527066
1969,0.19022633095181074,1.0,0.43365368053600412,1.0,0.21603344411497227,1.0
1970,0.847077767091239,1.0,0.99623886578445242,1.0,0.8743801605090646,1.0
1971,0.8554950796125169,0.7534768624179673,0.99173952873801619,0.35265459157462736,0.9043643864268434,0.6856206365054955
1972,0.5942029502881463,1.0,0.78180359389612053,1.0,0.6772229850642137,1.0
1973,0.877734079341933,0.5967335111677905,0.99887196608700601,0.082023014457069804,0.9215145518413301,0.5086046695574973
1974,0.11134467555865471,1.0,0.2393915137115237,1.0,0.1477920836006618,1.0
1975,0.3746448800596581,1.0,0.63984293371721379,1.0,0.4008270130348285,1.0
1976,0.11907058313518953,1.0,0.23428932164636454,1.0,0.16225355256619015,1.0
1977,0.13606768818682216,1.0,0.43692196727287419,1.0,0.19999975661796698,1.0
1978,0.20730746990754895,1.0,0.39111818619931876,1.0,0.2797033933634767,1.0
1979,0.13957521691317237,1.0,0.49155824771933371,1.0,0.16137115850419534,1.0
1980,0.1525511624423416,1.0,0.1171138024471183,1.0,0.1832889905872049,1.0
1981,0.20420948764661567,1.0,0.13463613829088147,1.0,0.23489200341102712,1.0
1982,0.42139800937265903,1.0,0.69163238170571084,1.0,0.4710200939604532,1.0
1983,0.7426789625717054,0.8465962436621096,0.55530778702004424,0.92749542535590201,0.7929870009600206,0.8115798283016236
1984,0.383467372078037,1.0,0.35070698280605139,1.0,0.42915460957629625,1.0
1985,0.924641468222752,0.42337512110349607,0.93335591383027139,0.40038888424014263,0.9497670801135799,0.3512254408497587
1986,0.9405574423420401,0.3798246262307451,0.95234787605584148,0.34256236536525747,0.9565637094488137,0.3278642828370043
1987,0.28012916012460654,1.0,0.33337885451431981,1.0,0.28909253738210794,1.0
1988,0.7851341255367128,0.716265067826183,0.71122700665860927,0.78270754207778714,0.8553749230262585,0.6293270825624309
1989,0.27590350352634285,1.0,0.2769430506900773,1.0,0.32525279057104306,1.0
1990,0.5248780717453375,0.9346651344668504,0.51265753359173805,0.93795243494054947,0.5759796515746035,0.9193669278377357
1991,0.562364834112711,0.9237678608378324,0.62858665683808745,0.90060758616643244,0.627190511514047,0.9011541445014646
1992,0.4451227434694711,0.9538487042498368,0.60895204993830221,0.9078566961164598,0.5201763073356657,0.9358490594229588
1993,0.5113203154233312,0.9386885205272246,0.46089387174587376,0.95083754048286417,0.5863510861405584,0.916388936766326
1994,0.7377249864157317,0.7632229633479007,0.56578539785633986,0.87375011755584187,0.8034448183556312,0.6987179256595073
1995,0.6958584776070911,0.793223343811354,0.64935403086312127,0.82493754959974031,0.7598190048809782,0.7400590675452872
1996,0.045317344220733614,1.0,0.050844478646470063,1.0,0.0689416568928584,1.0
1997,0.47969722202452836,0.9458903767277447,0.46404809306572015,0.94951391230998328,0.5234254959560563,0.9347285923526328
1998,0.040378950218134486,1.0,0.079556140728906682,1.0,0.05234049562080121,1.0
1999,0.03339605651195696,1.0,0.026590563032677938,1.0,0.04279864494194813,1.0
2000,0.4305435125305034,0.9566235709749329,0.45452516426298439,0.95156852180715989,0.47410394856564375,0.9471408906269141
2001,0.34991503370779037,0.9709613368634394,0.4808860090492178,0.94547668848515842,0.42266816275829533,0.9581461695474828
2002,0.8350203623780212,0.5894518459654225,0.87407612587642447,0.52685723907517712,0.8627415572259315,0.5463614016510983
2003,0.37688433924879466,0.966875867134266,0.37428606565540895,0.96731398890731268,0.43336870906730585,0.9563713245399726
2004,0.9643049896293723,0.2274398391144837,0.96931460525468904,0.20844281745510251,0.9739554256623849,0.18946106037653973
2005,0.9006843482744634,0.43253828156637003,0.94162704184110657,0.33120644610486821,0.9241200247672848,0.37853083688255273
2006,0.37679360240534027,0.9665327187550652,0.41324434148088163,0.95993138776601827,0.4390438783880439,0.9547649424194098
2007,0.997143016826637,0.03761112433575802,0.99768966674575554,0.032499671051545304,0.9985280486000495,0.023779259090561895
2008,0.38774017703982006,0.9649671768892306,0.50614549508141149,0.93960631905526926,0.45056163133523625,0.9527266699024153
2009,0.5648754230468402,0.8711477162263939,0.58965234051744275,0.85864123508718548,0.6018668900381658,0.8521222586680222
2010,0.6976697734691819,0.7418263628050279,0.78846661443401733,0.6499303613574946,0.7455098059207901,0.6970565783011828
2011,0.3466757088603961,0.9714234974566733,0.57213124385416481,0.91999391701060362,0.39135965433413866,0.9639882274194267
2012,0.7933311591750787,0.6443626695787179,0.88893714151481429,0.49895805342982646,0.8293609751873715,0.5972436101020346
2013,0.2826050480630609,0.9802947937000179,0.50393368607526656,0.93964761307057276,0.3221699870071308,0.9750296005242424
2014,0.5282420033177544,0.8879747094557264,0.532298167466697,0.88619261320107867,0.5928812197296747,0.8568751865464206
2015,0.026101324375275445,1.0,0.061741904615154081,1.0,0.033641530311600984,1.0
